Harris Corp. v. IXYS Corp.,10-Jun-97,114 F.3d 1149,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Idcac95f6942111d9a707f4371c9c34f0/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a8d0872fd456043%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIdcac95f6942111d9a707f4371c9c34f0%26startIndex%3D401%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=26c210012e80dba21f0d0520542dedbf&list=CUSTOMDIGEST&rank=496&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F31997124445
Gechter v. Davidson,12-Jun-97,116 F.3d 1454,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Idc9d2ca6942111d9a707f4371c9c34f0/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a8d0872fd456043%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIdc9d2ca6942111d9a707f4371c9c34f0%26startIndex%3D301%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=26c210012e80dba21f0d0520542dedbf&list=CUSTOMDIGEST&rank=333&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F21997126427
"Jore Corp. v. Kouvato, Inc.",07-Jan-05,117 Fed.Appx. 761,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Ia4a3c0718bca11d98aaaa007097b7893/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIa4a3c0718bca11d98aaaa007097b7893%26startIndex%3D1101%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=1198&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F72005907749
"Arkie Lures, Inc. v. Gene Larew Tackle, Inc.",08-Jul-97,119 F.3d 953,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I626318fb942611d9bc61beebb95be672/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI626318fb942611d9bc61beebb95be672%26startIndex%3D1401%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=1493&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F11997143295
"Teleflex, Inc. v. KSR Intern. Co.",06-Jan-05,119 Fed.Appx. 282,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I1786194679eb11d98c82a53fc8ac8757/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI1786194679eb11d98c82a53fc8ac8757%26startIndex%3D1501%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=1535&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F12005903291
Freeman v. Gerber Products Co.,06-Jan-05,120 Fed.Appx. 322,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Ief0807b281a811d98250a659c8eb7399/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a9d6359fd45c6ee%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIef0807b281a811d98250a659c8eb7399%26startIndex%3D401%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=a8164462241e34f1d8140ef1d4d5ec51&list=CUSTOMDIGEST&rank=416&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F12005903290
"Rosco, Inc. v. Mirror Lite Co.",19-Jan-05,120 Fed.Appx. 832,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I9ef49f8a7f6011d98c82a53fc8ac8757/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI9ef49f8a7f6011d98c82a53fc8ac8757%26startIndex%3D2501%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=2503&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F42005998115
"Motorola, Inc. v. Interdigital Technology Corp.",30-Jul-97,121 F.3d 1461,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I99d50461942711d993e6d35cc61aab4a/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI99d50461942711d993e6d35cc61aab4a%26startIndex%3D2801%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=2823&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F151997162427
"Hupp v. Siroflex of America, Inc.",04-Sep-97,122 F.3d 1456,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I6556e0bb942a11d993e6d35cc61aab4a/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a8d0872fd456043%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI6556e0bb942a11d993e6d35cc61aab4a%26startIndex%3D2001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=26c210012e80dba21f0d0520542dedbf&list=CUSTOMDIGEST&rank=2008&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F71997183888
Richardson-Vicks Inc. v. Upjohn Co.,26-Sep-97,122 F.3d 1476,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I7848d053942c11d9a707f4371c9c34f0/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI7848d053942c11d9a707f4371c9c34f0%26startIndex%3D2201%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=2227&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F51997200571
